Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,4.0,0.9731000065803528,"엔진, 미국, 현대차, 벨로스터, 모델, 화재, 문제, 차량, 결함, 기아차","['자율주행·커넥티비티', '연구소장獨부품사', '콘티넨탈', '출신', '임명', '현대모비스', '자율주행', '기술', '혁신', '인사', '순혈주의', '외국인', '연구센터장', '자리', '발탁', '확인', '인사·연구개발RD·조직', '분야', '과감', '혁신', '추진', '정의선', '현대자동차', '수석부회장', '오픈', '이노베이션개방형', '혁신', '계열사', '확산', '평가', '31일', '현대차그룹', '현대모비스', '자율주행', '기술', '개발', '담당', '정보통신기술ICT', '연구소', '올해', '초', '전기전자기술연구소', '확대', '개편', '연구소', '내', '초대', '자율주행개발센터장', '그레고리', '바라토프', '상무사진', '시스템개발센터장', '카르스텐', '바이스', '상무', '전격', '배치', '그룹', '관계자', '자율주행', '기술', '고도화하기', '현대모비스', '창립', '처음', '외국인', '양대', '센터장', '자리', '발탁', '결정', '혁신적', '연구', '성과', '도출', '순혈주', '인사', '혁파하겠다', '수석부회장', '인사', '혁신', '기조', '말', '바라토프', '신', '센터장', '세계적', '전장', '기업', '독', '콘티넨탈', '카메라', '센서', '개발', '총괄', '인물', '2017년', '현대모비스', '전격', '영입', '현대모비스', '지난해', '상반기', '콘티넨탈', '인포테인먼트·커넥티비티', '소프트웨어', '전문가', '활약', '바이스', '박사', '영입', '데', '성공', '자율주행·커넥티비티', '분야', '세계적', '인재', '확보', '성공', '현대모비스', '올해', '초', '양대', '연구센터', '전면', '배치', '연구', '성', '조', '확보', '총력', '실제', '회사', '기자간담회', '올해', '말', '차량', '보행자', '도로지형지물', '인식하', '영상', '식', '인공지능AI', '기술', '국내', '최초', '완성', '3년', '뒤', '양산', '예정', '자율주행차', '적용', '계획', '기술', '2022년', '양산', '자율주행차', '카메라', '센서', '적용', '예정', '바라토프', '센터장', '지휘', '기술', '분야', '연구소', '확대', '개편', '현대모비스', '국내', '객체', '식', '업체', '스트라드비젼', '중국', '얼굴', '식', '업체', '딥글린트', '혁신', '스타트업', '지분투자', '단행', '오픈', '이노베이션', '전략', '강화', '회사', '러시아', '최대', '인터넷', '기업', '얀덱스', '내년', '로보택시', '플랫폼', '공동', '개발', '협업', '진행']"
1,1.0,0.9990000128746033,"현대카드, 포인트, 디자인, 혜택, 카드, 사용, 제공, 서비스, 차량, 구매","['5월', '24', '현대카드', '이날', '코스트코코리아이하', '코스트코', '중요', '변화', '시작', '1998년', '한국', '진출', '뒤', '삼성카드', '파트너십', '유', '코스트코', '5월', '23일부', '삼성카드', '파트너십', '종료', '파트너', '현대카드', '현대카드', '카드사들', '결', '혜택', '서비스', '선사', '유명', '현대카드', '코스트코', '회원들', '현대카드', '대표적', '혜택', '특징', '소개', '28일', '◇650만', '고객', '선택', '포인트현대카드', '포인트', '국내', '활발', '사용', '신용카드', '포인트', '현대카드M', '계열', '카드', '프리미엄', '카드', '사용', '적립', '포인트', '사용처', '이용실적', '결제금액', '0', '54', '적립', '포인트', '자동차', '구매', '외식', '쇼핑', '문화레저', '다양한', '영역', '3만7000', '가맹점', '사용', '가능', '포인트', '적립율', '다양한', '사용처', '바탕', '포인트', '이용', '고객', '약', '650', '명', '연간', '포인트', '사용률연간', '포인트', '사용액포인트', '적립액', '94', '육박', '포인트', '사용처', '세부적', '차량', '관련', '혜택', '눈', '현대·기아차', '구매', '경우', '5년', '최대', '200', '원1원1M포인트까지', '차량', '구매대금', '결제', '포인트', '사용', '현대·기아차', '차량', '정비', '주유GS칼텍스', '시', '활용', '가능', '일상생활', '속', '사용처', '다양', '현대카드', '빕스', '투썸플레이스', '파리바게뜨', '25개', '외식', '카페', '베이커', '브랜드', '이용금액', '2030', '포인트', '결제', '서비스', '제공', '이마트', '신라면세점', '26개', '편의쇼핑', '영역', '최고', '20', '결제', '혜택', '국내', '주요', '놀이공원', '워터파크', '호텔', '극장', '보험금융', '가맹점', '최고', '50', '다채로운', '포인트', '이용', '혜택', '포인트', '기프트카드', '항공마', '리', '제휴사', '상품권할인권', '교환', '활용', '자선단체', '기부', '가능', '경우', '별도', '교환률', '적용', '현대카드', '상시', '사용처', '이외', '시기적', '특성', '반영해', '다양한', '특화', '혜택', '제공', '포인트', '이벤트', '진행', '중', '◇강력하', '다양', '자동차', '구매', '혜택', '차', '계획', '코스트코', '고객', '현대카드', '차량구매', '혜택', '주목', '현대카드', '현대자동차그룹', '소속사', '현대·기아차', '경제적', '구매', '다양한', '혜택', '제공', '때문', '5년', '최대', '200', '원', '적립', '포인트', '차량', '구매대금', '결제할', '포인트', '부족', '세이브오토', '프로그램', '포인트', '지급', '차량', '구매', '활용도', '가능', '프로그램', '이용', '차종', '최대', '50', '원', '포인트', '지급', '사용', '36개월', '안', '카드', '사용', '적립', '포인트', '상환', '차량', '구매', '결제', '시', '적립', '포인트', '10', '포인트', '일시', '상환', '가능', '상환', '포인트', '적립율', '기본', '1', '5', '포인트', '상환', '부담', '2년', '안', '차', '확실', '계획', '사람', '신차구매통장', '프로그램', '활용', '프로그램', '신청', '보유', '포인트', '2', '연간', '최대', '24', '포인트', '40', '포인트', '보유', '회원', '카드', '사용', '평균', '2', '포인트', '적립', '경우', '서비스', '신청', '달', '42', '포인트', '2', '8400포인트', '달', '44만점', '2', '8800포인트', '적립', '신차구매통장', '포인트', '현대·기아차', '신차', '구매', '사용', '차량', '구매', '유지관리', '재구', '다양', '혜택', '누리', '현대·기아차', '전용카드', '추천', '전용카드', '차종', '현대블루멤버스카드', '기아레드멤버스카드', '기아레드멤버스', '경차전용카드', '차', '전용카드', '결제하', '최대', '2', '포인트', '0', '6', '블루멤버스포인트', '적립', '차', '동', '한', '혜택', '적립', '두', '포인트', '차량', '구매', '시', '활용', '가능', '밖', '차량', '정비', '주유', '시', '할', '포인트', '사용', '혜택', '제공', '◇말뿐', '손안', '디지털', '현대카드Digital', '현대카드', '선언', '디지털', '기업', '근본적', '변신', '현대카드', '디지털', '서비스', '측면', '기업들', '분명', '차별화', '핵심', '실용성', '현대카드', '고객', '사용', '효용', '체감', '손안', '디지털', '표방', '현대카드', '첫', '서비스', '락Lock', '리밋Limit이다', '락', '고객', '현대카드', '앱', '카드', '사용처', '자유', '설정', '서비스', '온오프라', '결제', '현금서비스', '제한', '안전', '카드', '생활', '리밋', '카드', '사용금액', '한도', '설정', '서비스', '계획적', '카드', '사용', '도움', '신용카드', '전', '편리', '사용', '가상카드번호', '페이샷Payshot', '서비스', '이용', '가상카드번호', '카드', '정보', '유출', '대비해', '실제', '카드번호', '대', '고객', '별도', '생성', '가상', '카드번호', '사용', '서비스', '페이샷', '활용', '현대카드', '제휴', '16개', '주요', '온라인', '쇼핑몰', '쇼핑몰', '로그인만', '별도', '카드', '정보', '입력', '간편결제서비스', '사용', '고객들', '장', '카드', '장', '카드', '혜택', '이용', '현대카드', '카멜레온', '실시간', '상담서비스', '제공', '중', '인공지능AI', '챗봇', '현대카드', '버디Buddy', '활용', '은행', '110', '수준', '수수료', '간편', '외화', '송금', '현대카드', '해외송금', '서비스', '가족', '해외', '고객들', '중심', '인기', '◇현대카드', '회원만', '문화특권', '대한민국', '문화마케팅', '지형', '평', '현대카드', '문화마케팅', '역량', '정평', '세계적', '뮤지션', '내한공연', '소문', '현대카드', '문의', '쇄도', '정도', '2007년', '시작', '현대카드', '슈퍼콘서트', '팝', '전설', '비틀즈', '폴', '매카트니', '필두', '콜드플레이', '비욘세', '에미넴', '국내', '음악팬들', '세계적', '뮤지션들', '무대', '지속적', '우리나라', '대표', '공연', '브랜드', '자리', '현대카드', '만족', '현대카드', '컬처프로젝트', '연극', '미술', '무용', '축', '다양한', '분야', '활동', '영역', '확대', '현대카드', '인기', '문화', '이벤트', '개최', '현대카드', '소지자들', '2030', '할', '혜택', '제공', '현대카드', '고객', '입장', '상품', '탑재', '혜택', '수시', '진행', '문화', '이벤트', '할', '서비스', '사실상', '11', '혜택', '현대카드', '회원', '특별', '문화공간', '주목', '분주한', '일상', '책', '여유', '감성', '충전', '곳', '현대카드', '라이브러리', '2013년', '디지털', '현대카드', '아날로그적', '몰입', '영감', '추구', '디자인', '라이브러리', '이후', '트래블', '라이브러리', '라이브러리', '자체', '개념', '여행지', '변화', '뮤직', '라이브러리', '바이닐LP', '음악', '경험', '방식', '제안', '아날로그', '경험', '폭', '청각', '확장', '나중', '문', '쿠킹', '라이브러리', '음식', '요리', '책', '음식', '요리', '총체적', '경험', '공간', '인기', '현대카드', '회원', '라이브러리', '무료', '출입', '◇남다른', '라이프스타일', '선사합니다현대카드', '카드업계', '차별화', '마케팅', '주목', '기업', '라이프스타일', '적극적', '호평', '대표적', '현대카드', '고메위크다', '2006년', '첫', '선', '현대카드', '고메위크', '1주', '간', '플래티넘', '회원들', '국내', '유명', '레스토랑', '대표', '메뉴', '반값', '기회', '제공', '평소', '가격', '부담', '만만치', '프리미엄', '레스토랑', '식사', '경제적', '소식', '고객들', '이벤트', '참가', '시작', '현재', '회당', '명', '참가', '우리나라', '대표', '레스토랑', '이벤트', '자리', '현대카드', '고메위크', '호텔스테이', '일반화', '트렌드', '최고급', '5성급', '호텔', '하루', '40', '할인', '가격', '현대카드', '호텔위크', '프로그램', '운영', '중', '외식', '이벤트', '국내', '최정상', '셰프', '레스토랑', '최상', '미식', '제공', '현대카드', '파인다이닝위크', '확대', '진화', '현대카드', '일상', '한층', '업그레이드', '현대카드', '플래티넘', '회원들', '엄선', '고메', '패션', '호텔', '레저', '영역', '차별화', '클럽서비스', '제공', '현대카드', '서울', '부산', '핫플레이스', '위치한', '150', '개', '프리미엄', '레스토랑', '비롯', '남성', '편집', '매장', '전문', '테일러샵', '상시', '할', '혜택', '제공', '국내', '주요', '특급', '호텔', '객실', '특별', '우대', '음식', '음료', '서비스', '제공', '여행', '코스트코', '고객', '현대카드', '프리비아', '다채로운', '항공권', '여행상품', '할', '혜택', '◇플레이트부터', '디자인', '현대카드2000년대', '초반', '현대카드', '파격적', '디자인', '전', '디자인', '주목', '국내', '카드사', '재질', '골드카드', '금색', '실버카드', '은색', '현대카드', '천편일률적', '카드', '디자인', '혁신', '기운', '카드', '재질', '고정관념', '미니카드', '투명카드', '카드', '옆면', '색깔', '지갑', '눈길', '일반적', '플라스틱', '플레이트', '탈피', '티타늄', '리퀴드', '메탈', '코팔', '신소재', '금속', '플레이트', '현대카드', '파격', '층', '중심', '현대카드', '디자인', '마니아들', '시작', '디자인', '마음', '현대카드', '선택', '현대카드', '파격적', '세로형', '플레이트', '구성', '일반적', '가로형', '대', '스마트폰', '태블릿처럼', '세로형', '디스플레이', '방식', '주류', '디지털', '시대', '전면', '세로형', '디자인', '적용', '중', '일부', '상품', '부분적', '세로형', '디자인', '적용', '사례', '전체', '상품', '세', '디자인', '전면', '적용', '전', '세계', '최초', '프리미엄', '상품들', '세로형', '플레이트', '카드번호', '제휴사', '로고', '카드정보', '뒷면', '배치', '앞면', '고유', '상품', '컬러', '단색', '강렬', '적용', '현대카드', '대표', '상품', '라인', '현대카드M', '계열', '카드', '경쾌', '이지적', '블루', '톤', '현대카드X', '계열', '카드', '블루', '대비', '오렌지', '컬러', '적용', '디지털', '시대', '힙한', '감성', '표출']"
2,1.0,0.9957000017166138,"현대카드, 포인트, 디자인, 혜택, 카드, 사용, 제공, 서비스, 차량, 구매","['올해', '밀라노', '디자인', '위크', '스타', '프리Style', '주제', '전시관', '운영', '스타', '프리', '1월', '미국', '라스베이거스', '세계', '최대', '소비자', '가전전시회', '2019', '발표', '현대차', '고객', '경험UX', '방향성', '디자인', '철학', '고객', '라이프', '스타일', '공간', '하드웨어', '콘텐트', '자유', '구성', '스타', '프리', '기본', '개념', '조원홍', '현대차', '고객경험본부장', '“이번', '밀라노', '디자인', '위크', '자동차', '개인', '거주공간', '것”', '말', '현대자동차', '내달', '열리', '밀라노', '디자인', '위크', '고객경험', '방향성UX', '스타', '프리', '주제', '전시', '사진', '현대자동차', '전시관', '조감도', '현대자동차', '박람회', '기간', '현대차', '영국', '라이프스타', '매거진', '모노클', '컬래버레이션해', '전시관', '운영', '이상엽', '현대차디자인센터장', '브륄레', '모노클', '편집장', '네덜란드', '축', '마스', '패널', '토론', '삼성전자', '밀라노', '디자인', '위크', '19일', '재해석해', '공개', '자사', '디자인', '철학', 'Soul대담하라', '영혼', '교감', '주제', '전시', '삼성전자', '디자인', '철학', '재해석', '거', '1996년', '이후', '23년', '만', '기존', '사용자', '출발', '미래', '디자인', '철학', '표방', '디자인', '경영', '중시', '삼성전자', '밀라노', '디자인', '위크', '참석', '삼성전자', '19일', '공개한', '디자인', '철학', 'Soul대담하라', '영혼', '교감', '삼성전자', '올해', '밀라노', '디자인', '위크', '기반', '다양한', '활동', '삼성전자', '디자인', '홈페이지', '캡처', '2005년', '이건희', '회장', '밀라노', '디자인', '위크', '참석', '디자인', '혁명', '강조', '밀라노', '선언', '뒤', '삼성전자', '디자인경영센터', '제품', '디자인과', '사용자', '경험', '공', '국내', '제조업체들', '밀라노', '디자인', '워크', '참가', '물꼬', '삼성전자', '제조업체들', '밀라노', '디자인', '박람회', '공', '거', '개성', '중시', '밀레니얼', '세대', '사용자', '경험', '취향', '트렌드', '감', '구매력', '기업', '미래', '의미', '현대차', '관계자', '“올해', '스타', '프리', '사용자', '경험', '방향성', '제시', '세계', '최대', '디자인', '박람회', '현대차', '철학', '기회', '것”', '말']"
3,10.0,0.9970999956130981,"차량, 엔진, 미국, 현대차, 자동차, 화재, 리콜, 벨로스터, 현대카드, 현대·기아차","['지속', '가능', '지능화', '이동', '혁명', '주제', '2019', '서울모터쇼', '경기', '일산', '킨텍스', '4월', '7일', '개최', '28일', '프레스', '데이', '시작', '개막', '서울모터쇼', '완성차', '업체들', '신차', '공개', '뿐', '국내', '중소', '자동차', '관련', '업체들', '신기술', '공개', '자리', '마련', '2019', '서울', '모터쇼', '오토메이커스', '월드', '서스테이너블', '월드', '커넥티드', '월드', '모빌리티', '월드', '오토파츠', '월드', '7개', '테마관', '구성', '오토파츠', '월드', '참가', '국내', '중소', '자동차', '용품', '개조', '업체들', '독자적', '기술력', '관람객들', '시선', '국내', '업체들', '기술', '개발', '키워드', '친환경이었다', '업체들', '친환경차', '탑재', '용품들', '개발', '노력', '결과물들', '모터쇼', '현대·기아자동차', '1차', '협력사', '명화공업', '엔진용', '오일펌프', '워터펌프', '자동변속기', '생산', '회사', '친환경차', '발전', '전동식', '워터펌프', '국내', '최초', '독자', '개발', '전동식', '워터펌프', '수소전기차', '전기차', '내연기관', '차량', '적용', '가능', '연비', '효율', '역할', '코리아하이테크', '국내', '최초', '친환경', '농업용', '동력운반차', '힘쎈1', '공식', '출시', '힘쎈1', '농기계', '농업용', '운반', '전기차', '코리아하이테크', '연기', '논밭', '과거', '경운기', '친환경', '농기구', '운반', '전기차', '농촌', '풍경', '코리아하이테크', '관계자', '지난해', '인증', '농업용', '전기차', '본격적', '출시', '조작', '가능', '안전성', '확보', '유지비', '저렴한', '차량', '소개', '코리아하이테크', '농업용', '운반', '전기차', '힘쎈1친환경', '대체연료', '솔루션', '업체', '로턴', '차량', '튜닝', '전문', '업체', '박홍준', '로턴', '대표이사', '기존', '가솔린', '디젤', '차량', '차량', '튜닝하는데', '자동차', '구조적', '변경', '최소', '로턴만', '기술력', '소개', '직분사', '시스템', '기존', '가솔린', '직분사', '엔진GDI', '직접분사', '방식', '동일', '사용', '액체', '연소실', '분사', '방식', '튜닝하', '가솔린', '유사한', '출력', '유', '배출가스', '저감효과', '설명', '가솔린', '겸용', '사용', '주행중', '자유', '연료', '주행', '장점', '정부', '규제', '완화', '자동차', '시장', '바람', '로턴', '기술력', '주목', '자동차', '전용', '배터리', '냉각액', '생산', '극동제연', '모터쇼', '참가', '극동제연', '국내', '유', '수소전기차', '전용', '연료전지', '냉각액', '생산', '업체', '2005년', '현대·기아차', '수소전기차', '전용', '냉각액', '공동개발', '시작', '현대자동차', '수소전기차', '투싼ix', '양산', '넥쏘', '냉각액', '공급', '모터쇼', '자율주행', '카셰어링', '자동차', '관련', '어플리케이션', '기업들', '관람객들', '관심', '모빌테크', '3D', '카메라', '라', '센서', '정밀', '지', '데이터', '축적', '기술', '보유', '업체', '모빌테크', '개발', '시맨틱', '엔진', '인공지능', '기반', '데이터', '추출', '시스템', '카메라', '스캔', '3D', '데이터', '딥러닝', '다양', '물체', '구분', '도', '정보', '인식', '자율주행', '정밀', '지', '제작', '필요', '기술', '자동차', '서비스', '플랫폼', '차봇', '어플리케이션', '플랫폼', '최적화', '자동차', '보험', '상품', '키오스크', '미디어', '모빌리티', '모바', '플랫폼', '이용', '맞춤형', '보험', '검색', '뿐', '연계', '자동차보험', '가입', '한번']"
4,3.0,0.9940999746322632,"경기, 서울모터쇼, 고양시, 2019, 일산, 현대차, 킨텍스, 현대자동차, 전시, 모델","['삼성·LG·SK·현대차', '경영', '체제', '속', '투', '잰걸음지디넷코리아김우용', '기자삼성전자', '현대자동차', '한국', '대표', '기업', '정기주주총회', '끝났다', '이사회', '재구성', '지배구조재편', '작업', '주', '대기업들', '공통적', '올해', '경기', '불황', '경제', '불투명성', '한해', '전망', '경영', '구조', '개선', '사업', '투자', '강조', '이재용', '구광모', '최태원', '정의선', '기업', '총수', '도전', '시험대', '삼성전자', '50기', '주주총회', '사진지디넷코리아■', '4대', '기업', '주총', '현안', '이사회', '재편apos삼성전자', '20', '정기주주총회', '사외이사', '박재완', '김한조', '안규리', '3인', '사외이사', '선임', '박재완', '이사', '재선', '건', '국민연금', '해외연기금', '반대', '통과', '삼성전자', '액면분할', '후', '첫', '주총', '행사진행미숙', '주주', '비판', '지난해', '4분기부터', '실적하락', '주가하락', '주주', '반발도', '15', '정기주주총회', '권영수', '주LG', '부회장', '기타비상무이사', '선', '정도현', '대표이사', '사장', '사내이사', '재선임했다', '이상구', '김대형', '2인', '사외이사', '선임', '권영수', '부회장', '작년', '구광모', '회장', '그룹', '회장', '선', '뒤', '지주회사', '부회장', '선임', '올해', 'LG유플러스', '이사회', '의장', '그룹', '핵심인물', '29일', '주LG', '주주총회', '의장', '주식회사', '27', '정기주주총회', '염재호', '김병호', '2인', '사외이사', '선임', '최태원', '회장', '사내이사', '재선임했다', '정관', '변경', '대표이사', '제한', '이사회', '의장', '자격요건', '폐', '최태원', '회장', '주식회사', '이사회', '의장', '염재호', '고려대학교', '전', '총장', '후', '이사회', '의장', '통과', '예상', '최태원', '회장', '사내이사', '재선', '건', '국민연금', '반대표', '대세', '지장', '그룹', '지배구조', '개', '작업', '제동', '정의선', '현대차그룹', '수석부회장', '사진현대차그룹현대자동차', '22', '정기주주총회', '정의선', '현대차그룹', '수석부회장', '사내이사', '재선임했다', '이원희', '현대차', '사장', '알버트', '현대차', '연구개발본부장', '2인', '사내이사', '선임', '정의선', '부회장', '현대자동차', '대표이사', '선임', '경영', '전면', '정의선', '부회장', '현대차', '현대모비스', '대표이사', '겸', '기아자동차', '현대제철', '사내이사', '선임', '현대자동차', '주총', '미국계', '행동주의펀드', '엘리엇매니지먼트', '표대결', '관심', '엘리엇', '이사회', '진입', '고배당', '요구', '서면표결', '패배', '■', '주요', '대기업', '사업', '투', '본격화삼성전자', '올해', '분야', '근원적', '혁신', '추진', '스마트폰', '가전', '혁신제품', '반도체', '디스플레이', '사업', '개발', '제조', '역량', '강화', '초격차', '확보', '강조', '인공지능AI', '5G', '사업', '투', '강화', '뜻', '지속적', '자동차', '전장', '분야', '성장', '이재용', '삼성전자', '부회장', '사업부', '경영', '대외', '행보', '적극', '모습', '연초', '문재', '대통령', '중국', '유럽', '글로벌', '행보', '부회장', '작년', '8월', '5G', '바', '반도체', '중심', '전장부품', '4대', '분야', '미래', '성장', '사업', '제시', '2021년', '180조원', '투자하', '스마트폰', '사업', '부진', '속', '가전', '사업', '호조', '그룹', '화학', '통신', '계열사', '협력', '투', '확대', '강조', '구광모', '주LG', '대표', '마곡', '사이언스파크', '방문', '모습구광모', '㈜LG', '대표이사', '회장', '26일', '정기주주총회', '별', '인사말', '올해', '시장', '변화', '선제적', '대응', '시장', '선도', '영속', '강조', '회장', '㈜LG', '자회사들', '시장환경', '변화', '선제적', '대응', '시장', '선도', '영속', '사업', '적극', '발굴', '육성해', '장기적', '관점', '미래', '기업가치', '사업포트폴리오', '구축', '미래', '혁신', '글로벌', '연구단지', '사이언스파크', '중심', '오픈', '이노베이션', '활용', '역량', '강화', '사회적', '가치', '창출', '화두', '집중', '최태원', '회장', '이노베이션', '텔레콤', 'SK하이닉스', '혁신', '실험', 'SK하이닉스', '용인', '반도체', '클러스터', '조성', '1조2천억원', '투자하', '최태원', '그룹', '회장', '28일', '중국', '하이난다오', '보아오포럼', '개막식', '연사', '사회적', '가치', '경제적', '가치', '못지', '중요', '사회적', '가치', '측정', '창출', '사회적', '가치', '인센티브', '제공', '두', '가지', '노력', '집중', '현대자동차', '정의선', '대표이사', '체제', '신기술', '관련', '사업', '투자', '강화', '계획', '신규', '출시', '차량', '신기술', '투입', '전기자동차', '자율주행차', '기술', '투자', '확대', '작년', '철회', '현대차그룹', '지배구조', '개편', '작업', '재시', '예상', '■', '기업', '총수', 'apos통큰', '경영apos', '변화최근', '한국', '대기업', '오너', '리스크', '우려', '가운데', '기업', '변화도', '주목', '의사결정', '과감', '장기적', '투', '한국기업', '오너', '경영', '세계적', '주목', '오너', '일가', '갑질횡포', '비위', '행위', '사회적', '문제', '대두', '오너', '리스크apos', '무게', '이재용', '구광모', '정의선', '기업', '총수', '역할', '전', '포괄적', '전략', '수립', '초점', '무관', '전문경영인', '세부', '사업', '경영', '총수', '사업', '투', '글로벌', '파트너십', '확보', '기업', '이미지', '개', '규모', '사안', '존재감', '투자', '방향성', '제시', '집중', '리스크', '이미지', '탈피', '안정적', '경영', '식', '구축', '의도', '최태원', '회장■', '국민연금', '주주행동주의', '시대', '열려올해', '국내', '기업', '주총', '화제거리', '국민연금', '스튜어드십코드였다', '국민연금', '삼성전자', '주식회사', '주총', '반대표', '현대차', '주총', '엘리엇', '대', '경영진', '손', '대주주', '존재감', '27일', '대한항공', '주총', '조양호', '회장', '사내이사', '선', '부결', '막강한', '영향력', '처음', '증명', '국민연금', '국내외', '막강한', '자금력', '대주주', '그동안', '기업', '경영', '관여', '문재', '정부', '대기업', '총수', '전횡', '견제', '역할', '적극', '시작', '국민연금', '올해', '42개', '기업', '주총', '반대표', '대한항공', '제외', '패배', '스튜어드십코드', '무용론', '대한항공', '사례', '힘', '국민연금', '위시', '주주행동주의', '힘', '발휘', '전망']"
5,2.0,0.8697999715805054,"미국, 현대카드, 국내, 현대자동차, 차량, 자동차, 전기차, 포인트, 완성차, 엔진","['29일', '오후', '경기', '고양시', '일산서구', '킨텍스', '2019', '서울모터쇼', '관람객들', '전시', '차량', '관람', '현대', '기아', '한국GM', '르노삼성', '쌍', '제네시스', '국내', '완성차', '6개사', '메르세데스벤츠', '수입', '자동차', '브랜드', '14개사', '완성차업체', '20곳', '참가', '서울모터쇼', '이날', '개막해', '다음달', '7일', '계속']"
6,2.0,0.8697999715805054,"미국, 현대카드, 국내, 현대자동차, 차량, 자동차, 전기차, 포인트, 완성차, 엔진","['29일', '오후', '경기', '고양시', '일산서구', '킨텍스', '2019', '서울모터쇼', '관람객들', '전시', '차량', '관람', '현대', '기아', '한국GM', '르노삼성', '쌍', '제네시스', '국내', '완성차', '6개사', '메르세데스벤츠', '수입', '자동차', '브랜드', '14개사', '완성차업체', '20곳', '참가', '서울모터쇼', '이날', '개막해', '다음달', '7일', '계속']"
7,2.0,0.8704000115394592,"미국, 현대카드, 국내, 현대자동차, 차량, 자동차, 전기차, 포인트, 완성차, 엔진","['29일', '오후', '경기', '고양시', '일산서구', '킨텍스', '2019', '서울모터쇼', '관람객들', '전시', '차량', '관람', '현대', '기아', '한국GM', '르노삼성', '쌍', '제네시스', '국내', '완성차', '6개사', '메르세데스벤츠', '수입', '자동차', '브랜드', '14개사', '완성차업체', '20곳', '참가', '서울모터쇼', '이날', '개막해', '다음달', '7일', '계속']"
8,2.0,0.9725000262260437,"미국, 현대카드, 국내, 현대자동차, 차량, 자동차, 전기차, 포인트, 완성차, 엔진","['현대자동차', '28일', '오전', '경기', '고양시', '일산서구', '킨텍스', '2019', '서울', '모터쇼', '퍼포먼스', '카', '현대', '기아', '한국GM', '르노삼성', '쌍', '제네시스', '국내', '완성차', '6개사', '메르세데스벤츠', '수입', '자동차', '브랜드', '14사개', '완성차업체', '20곳', '참가', '서울모터쇼', '다음달', '7일']"
